Frame, Time (ms)
    1,     0.000
    2,    17.621
    3,    40.824
    4,    58.639
    5,    81.509
    6,   102.041
    7,   123.926
    8,   144.597
    9,   166.033
   10,   186.584
   11,   208.442
   12,   229.948
   13,   250.462
   14,   272.054
   15,   290.784
   16,   313.984
   17,   334.113
   18,   356.290
   19,   377.652
   20,   398.958
   21,   419.749
   22,   440.951
   23,   461.363
   24,   483.396
   25,   502.674
   26,   524.944
   27,   546.703
   28,   566.688
   29,   588.602
   30,   609.589
   31,   630.766
   32,   651.905
   33,   673.419
   34,   693.451
   35,   715.780
   36,   736.417
   37,   758.300
   38,   778.855
   39,   801.481
   40,   820.923
   41,   843.614
   42,   862.874
   43,   886.313
   44,   905.591
   45,   928.970
   46,   949.306
   47,   975.907
   48,   991.589
   49,  1011.164
   50,  1034.303
   51,  1053.797
   52,  1075.730
   53,  1098.117
   54,  1118.334
   55,  1140.486
   56,  1160.266
   57,  1182.621
   58,  1202.639
   59,  1224.573
   60,  1245.093
   61,  1267.200
   62,  1287.597
   63,  1309.907
   64,  1329.604
   65,  1352.526
   66,  1371.686
   67,  1394.904
   68,  1414.016
   69,  1436.995
   70,  1457.443
   71,  1479.614
   72,  1499.173
   73,  1521.324
   74,  1541.711
   75,  1563.466
   76,  1583.638
   77,  1606.616
   78,  1626.512
   79,  1649.797
   80,  1668.546
   81,  1689.458
   82,  1708.979
   83,  1732.956
   84,  1754.365
   85,  1773.702
   86,  1796.905
   87,  1816.297
   88,  1839.022
   89,  1858.797
   90,  1881.068
   91,  1901.982
   92,  1923.997
   93,  1944.972
   94,  1966.213
   95,  1988.457
   96,  2009.055
   97,  2029.142
   98,  2050.999
   99,  2071.910
  100,  2091.741
  101,  2114.988
  102,  2133.352
  103,  2155.857
  104,  2176.144
  105,  2199.524
  106,  2220.008
  107,  2241.626
  108,  2262.628
  109,  2283.101
  110,  2305.696
  111,  2326.441
  112,  2347.718
  113,  2367.906
  114,  2390.566
  115,  2409.863
  116,  2432.860
  117,  2452.465
  118,  2475.317
  119,  2494.259
  120,  2517.650
  121,  2537.782
  122,  2558.737
  123,  2580.761
  124,  2602.333
  125,  2620.321
  126,  2643.994
  127,  2665.081
  128,  2687.299
  129,  2707.128
  130,  2728.705
  131,  2749.297
  132,  2771.926
  133,  2791.083
  134,  2813.581
  135,  2832.070
  136,  2853.452
  137,  2875.350
  138,  2896.240
  139,  2917.477
  140,  2940.252
  141,  2959.211
  142,  2981.985
  143,  3001.687
  144,  3024.842
  145,  3044.136
  146,  3066.357
  147,  3087.530
  148,  3109.715
  149,  3129.560
  150,  3151.569
  151,  3172.522
  152,  3194.276
  153,  3214.502
  154,  3236.431
  155,  3256.134
  156,  3278.698
  157,  3298.563
  158,  3322.474
  159,  3341.136
  160,  3363.467
  161,  3384.102
  162,  3406.456
  163,  3425.538
  164,  3448.977
  165,  3469.177
  166,  3491.217
  167,  3512.283
  168,  3533.317
  169,  3552.815
  170,  3575.537
  171,  3595.261
  172,  3617.637
  173,  3638.244
  174,  3657.061
  175,  3681.371
  176,  3703.303
  177,  3722.662
  178,  3745.805
  179,  3765.801
  180,  3787.511
  181,  3808.198
  182,  3830.562
  183,  3850.510
  184,  3872.179
  185,  3892.685
  186,  3914.927
  187,  3934.573
  188,  3956.386
  189,  3975.843
  190,  3998.474
  191,  4018.821
  192,  4041.157
  193,  4061.101
  194,  4083.702
  195,  4103.171
  196,  4125.672
  197,  4144.547
  198,  4168.072
  199,  4186.908
  200,  4210.480
  201,  4229.255
  202,  4255.115
  203,  4276.571
  204,  4297.091
  205,  4318.566
  206,  4339.025
  207,  4361.695
  208,  4381.010
  209,  4404.304
  210,  4423.498
  211,  4446.549
  212,  4465.842
  213,  4488.753
  214,  4508.409
  215,  4530.434
  216,  4551.311
  217,  4573.289
  218,  4593.263
  219,  4616.577
  220,  4636.115
  221,  4657.762
  222,  4678.057
  223,  4700.212
  224,  4720.237
  225,  4742.641
  226,  4763.343
  227,  4785.757
  228,  4805.605
  229,  4827.947
  230,  4847.592
  231,  4869.767
  232,  4890.709
  233,  4912.892
  234,  4932.213
  235,  4954.301
  236,  4975.475
  237,  4996.626
  238,  5017.134
  239,  5037.644
  240,  5060.314
  241,  5080.279
  242,  5102.943
  243,  5123.662
  244,  5145.971
  245,  5166.783
  246,  5188.504
  247,  5208.288
  248,  5230.761
  249,  5251.628
  250,  5273.269
  251,  5293.470
  252,  5315.713
  253,  5335.867
  254,  5358.065
  255,  5378.956
  256,  5400.255
  257,  5420.200
  258,  5443.338
  259,  5462.644
  260,  5485.813
  261,  5504.848
  262,  5527.991
  263,  5547.848
  264,  5569.817
  265,  5590.749
  266,  5612.388
  267,  5632.111
  268,  5655.086
  269,  5675.098
  270,  5697.472
  271,  5717.031
  272,  5739.568
  273,  5759.511
  274,  5781.782
  275,  5802.544
  276,  5823.656
  277,  5846.043
  278,  5865.585
  279,  5887.759
  280,  5908.636
  281,  5930.892
  282,  5951.057
  283,  5973.198
  284,  5993.066
  285,  6014.960
  286,  6036.171
  287,  6057.451
  288,  6079.191
  289,  6099.835
  290,  6121.258
  291,  6142.130
  292,  6163.699
  293,  6184.044
  294,  6205.558
  295,  6226.981
  296,  6246.614
  297,  6268.935
  298,  6290.746
  299,  6311.481
  300,  6333.180
  301,  6354.726
  302,  6376.037
  303,  6396.450
  304,  6418.381
  305,  6438.265
  306,  6461.081
  307,  6480.641
  308,  6503.311
  309,  6523.194
  310,  6545.611
  311,  6566.300
  312,  6588.630
  313,  6607.711
  314,  6631.199
  315,  6650.309
  316,  6673.274
  317,  6694.047
  318,  6715.947
  319,  6734.857
  320,  6757.979
  321,  6777.522
  322,  6800.488
  323,  6819.651
  324,  6841.630
  325,  6862.186
  326,  6884.736
  327,  6904.497
  328,  6927.591
  329,  6947.009
  330,  6968.540
  331,  6988.620
  332,  7011.701
  333,  7032.769
  334,  7054.913
  335,  7075.497
  336,  7097.140
  337,  7117.007
  338,  7139.067
  339,  7159.367
  340,  7181.400
  341,  7201.813
  342,  7223.574
  343,  7245.084
  344,  7265.027
  345,  7286.758
  346,  7307.222
  347,  7329.391
  348,  7349.663
  349,  7371.741
  350,  7392.713
  351,  7413.884
  352,  7435.185
  353,  7456.509
  354,  7477.652
  355,  7498.292
  356,  7519.850
  357,  7540.344
  358,  7562.913
  359,  7582.151
  360,  7605.143
  361,  7624.719
  362,  7646.769
  363,  7667.287
  364,  7689.838
  365,  7710.625
  366,  7733.128
  367,  7751.752
  368,  7773.996
  369,  7793.925
  370,  7816.501
  371,  7836.729
  372,  7858.556
  373,  7879.028
  374,  7900.957
  375,  7920.507
  376,  7944.470
  377,  7963.533
  378,  7986.294
  379,  8005.603
  380,  8028.614
  381,  8047.787
  382,  8071.039
  383,  8090.588
  384,  8112.731
  385,  8133.060
  386,  8154.943
  387,  8175.146
  388,  8197.422
  389,  8217.916
  390,  8239.496
  391,  8259.785
  392,  8283.281
  393,  8304.463
  394,  8325.030
  395,  8345.875
  396,  8368.813
  397,  8390.401
  398,  8410.781
  399,  8431.020
  400,  8453.769
  401,  8472.595
  402,  8495.835
  403,  8515.533
  404,  8537.605
  405,  8558.347
  406,  8580.477
  407,  8601.545
  408,  8623.102
  409,  8641.972
  410,  8665.076
  411,  8684.144
  412,  8707.242
  413,  8727.944
  414,  8750.731
  415,  8770.740
  416,  8792.235
  417,  8813.009
  418,  8834.783
  419,  8854.902
  420,  8877.826
  421,  8896.979
  422,  8919.496
  423,  8939.351
  424,  8961.840
  425,  8981.903
  426,  9003.920
  427,  9025.837
  428,  9047.111
  429,  9067.915
  430,  9088.383
  431,  9110.824
  432,  9130.459
  433,  9151.262
  434,  9171.653
  435,  9195.455
  436,  9215.368
  437,  9237.222
  438,  9258.392
  439,  9278.480
  440,  9300.600
  441,  9321.683
  442,  9342.899
  443,  9363.588
  444,  9385.414
  445,  9405.288
  446,  9427.689
  447,  9448.749
  448,  9469.895
  449,  9491.410
  450,  9511.393
  451,  9533.117
  452,  9554.604
  453,  9573.958
  454,  9596.827
  455,  9615.374
  456,  9637.985
  457,  9658.362
  458,  9681.440
  459,  9701.385
  460,  9723.796
  461,  9744.118
  462,  9766.169
  463,  9787.068
  464,  9808.325
  465,  9828.645
  466,  9850.736
  467,  9872.330
  468,  9891.345
  469,  9914.523
  470,  9935.109
  471,  9957.562
  472,  9976.810
