benchmarkable_call_number,frame_time_ms,time_difference,call_type,draw_call_number,calls_skipped,calls_executed,ps_text,vs_text,vdecl_text
-1,2.10559,2.10559,first_call_was_skipped,,4147,0,,,
0,2.42992,0.32433,Clear,,4146,1,,,
1,2.44751,0.017592,Clear,,4145,2,,,
2,2.66265,0.215147,Draw,0,4144,3,ps_ea97b1f6b1cbfb27_1,vs_text_1,vdecl_text_1
3,2.73251,0.0698592,Draw,1,4143,4,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
4,2.55302,-0.179493,Draw,2,4142,5,ps_45294cb0e244ea9d_3,vs_text_3,vdecl_text_1
5,2.64719,0.094168,Draw,3,4141,6,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
6,2.66925,0.0220608,Draw,4,4140,7,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
7,2.67084,0.00158827,Draw,5,4139,8,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
8,2.47651,-0.194327,Draw,6,4138,9,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
9,2.6778,0.201292,Draw,7,4137,10,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
10,2.68817,0.0103696,Draw,8,4136,11,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
11,2.72036,0.0321845,Draw,9,4135,12,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
12,2.72048,0.000122667,Draw,10,4134,13,ps_45294cb0e244ea9d_4,vs_text_4,vdecl_text_1
13,2.63568,-0.0847947,Draw,11,4133,14,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
14,2.27525,-0.360435,Draw,12,4132,15,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
15,2.73227,0.457018,Draw,13,4131,16,ps_a91436502b7b872e_5,vs_text_5,vdecl_text_1
16,2.71057,-0.0217008,Draw,14,4130,17,ps_a91436502b7b872e_5,vs_text_5,vdecl_text_1
17,2.5548,-0.155762,Draw,15,4129,18,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
18,2.54088,-0.0139227,Draw,16,4128,19,ps_45294cb0e244ea9d_6,vs_text_6,vdecl_text_1
19,2.62935,0.0884715,Draw,17,4127,20,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
20,2.66241,0.0330544,Draw,18,4126,21,ps_45294cb0e244ea9d_3,vs_text_3,vdecl_text_1
21,2.71511,0.0527019,Draw,19,4125,22,ps_45294cb0e244ea9d_3,vs_text_3,vdecl_text_1
22,2.57648,-0.138625,Draw,20,4124,23,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
23,2.362,-0.214483,Draw,21,4123,24,ps_45294cb0e244ea9d_3,vs_text_3,vdecl_text_1
24,2.69452,0.332519,Draw,22,4122,25,ps_45294cb0e244ea9d_3,vs_text_3,vdecl_text_1
25,2.39258,-0.301945,Draw,23,4121,26,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
26,2.41422,0.0216427,Draw,24,4120,27,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
27,2.63997,0.225752,Draw,25,4119,28,ps_693f003fa1d6a788_7,vs_text_7,vdecl_text_1
28,2.4725,-0.167471,Draw,26,4118,29,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
29,2.39638,-0.0761243,Draw,27,4117,30,ps_45294cb0e244ea9d_3,vs_text_3,vdecl_text_1
30,2.58006,0.183682,Draw,28,4116,31,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
31,2.21275,-0.367306,Draw,29,4115,32,ps_a91436502b7b872e_5,vs_text_5,vdecl_text_1
32,2.72623,0.513478,Draw,30,4114,33,ps_693f003fa1d6a788_8,vs_text_8,vdecl_text_1
33,2.60261,-0.123623,Draw,31,4113,34,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
34,2.7891,0.186493,Draw,32,4112,35,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
35,2.66418,-0.124918,Draw,33,4111,36,ps_45294cb0e244ea9d_3,vs_text_3,vdecl_text_1
36,2.72123,0.0570437,Draw,34,4110,37,ps_45294cb0e244ea9d_3,vs_text_3,vdecl_text_1
37,2.70098,-0.0202432,Draw,35,4109,38,ps_45294cb0e244ea9d_3,vs_text_3,vdecl_text_1
38,2.5822,-0.118779,Draw,36,4108,39,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
39,2.22368,-0.358526,Draw,37,4107,40,ps_45294cb0e244ea9d_3,vs_text_3,vdecl_text_1
40,2.77603,0.55235,Draw,38,4106,41,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
41,2.49128,-0.284748,Draw,39,4105,42,ps_693f003fa1d6a788_8,vs_text_8,vdecl_text_1
42,2.36936,-0.121918,Draw,40,4104,43,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
43,2.74702,0.377658,Draw,41,4103,44,ps_45294cb0e244ea9d_2,vs_text_2,vdecl_text_1
