Draw Call #, GPU Time (ns), Frame Buffer Bottleneck, Frame Buffer Utilized, Geometry Unit Bottleneck, Geometry Unit Utilized, Input Assembly Bottleneck, Input Assembly Utilized, Primitive Count, Raster Operations Bottleneck, Raster Operations Utilized, Shader Bottleneck, Shader Utilized, Texture Bottleneck, Texture Utilized, Shaded Pixel Count, Vertex Instruction %, Geometry Instruction %, Pixel Instruction %
0, 25060, 27.49%, 21.35%, 22.63%, 13.00%, 14.45%, 15.60%, 973, 58.80%, 19.40%, 23.07%, 86.24%, 28.40%, 28.51%, 129888, 3.98%, 0.00%, 96.02%
1, 3017, 7.69%, 5.28%, 31.92%, 25.00%, 37.05%, 23.54%, 421, 0.00%, 0.00%, 1.07%, 32.17%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2, 52070, 26.92%, 27.09%, 57.26%, 9.02%, 10.02%, 9.01%, 2987, 89.00%, 25.03%, 65.33%, 98.47%, 0.00%, 0.00%, 702952, 1.49%, 0.00%, 98.51%
3, 21124, 43.72%, 29.43%, 22.37%, 12.07%, 17.12%, 11.02%, 1519, 82.42%, 26.00%, 39.44%, 78.50%, 0.00%, 0.00%, 196680, 3.34%, 0.00%, 96.66%
4, 6915, 12.42%, 9.00%, 11.24%, 9.14%, 12.32%, 9.06%, 390, 21.11%, 7.19%, 17.14%, 47.42%, 0.00%, 0.00%, 15824, 4.34%, 0.00%, 95.66%
5, 2292, 5.63%, 3.05%, 28.00%, 26.61%, 26.68%, 25.31%, 354, 0.00%, 0.00%, 0.00%, 37.89%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
6, 2841, 3.37%, 1.03%, 28.54%, 8.01%, 12.10%, 8.08%, 141, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
7, 2473, 6.95%, 3.00%, 27.05%, 23.03%, 29.10%, 21.57%, 312, 0.00%, 0.00%, 0.00%, 40.14%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
8, 4875, 11.40%, 9.00%, 61.60%, 53.18%, 68.75%, 50.14%, 1432, 0.00%, 0.00%, 2.16%, 57.43%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
9, 2330, 3.46%, 2.04%, 25.00%, 8.21%, 14.42%, 6.19%, 96, 0.00%, 0.00%, 0.00%, 30.45%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
10, 1730, 3.49%, 0.00%, 4.13%, 3.00%, 9.42%, 3.03%, 38, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
11, 2401, 7.83%, 5.10%, 29.23%, 25.25%, 32.00%, 20.60%, 284, 0.00%, 0.00%, 1.12%, 36.36%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
12, 2150, 4.78%, 2.19%, 12.20%, 9.64%, 17.72%, 9.46%, 112, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
13, 2024, 4.60%, 0.00%, 5.05%, 6.30%, 15.00%, 6.23%, 48, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
14, 2369, 5.81%, 2.11%, 15.64%, 15.85%, 11.54%, 16.08%, 96, 0.00%, 0.00%, 2.21%, 34.49%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
15, 29302, 30.73%, 30.39%, 58.70%, 47.81%, 61.84%, 42.00%, 7564, 52.79%, 21.39%, 29.84%, 72.76%, 0.00%, 0.00%, 88640, 20.02%, 0.00%, 79.98%
16, 3119, 4.56%, 1.00%, 39.86%, 10.07%, 11.08%, 9.05%, 189, 0.00%, 0.00%, 0.00%, 21.87%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
17, 7674, 14.75%, 17.08%, 3.00%, 6.49%, 9.69%, 4.07%, 222, 44.11%, 16.22%, 8.39%, 40.08%, 0.00%, 0.00%, 7840, 5.10%, 0.00%, 94.90%
